,E-Datum,KFZ,Start,Ende
0,'29.08.2020','1-KTW-2','07:30','08:30'
1,'29.08.2020','1-KTW-2','08:00','09:00'
2,'29.08.2020','1-KTW-3','09:00','10:00'
3,'29.08.2020','1-KTW-3','10:00','11:00'
4,'29.08.2020','1-KTW-4','10:00','11:00'
5,'29.08.2020','1-KTW-4','11:00','12:00'
6,'29.08.2020','1-KTW-5','09:00','10:00'
7,'29.08.2020','1-KTW-5','10:00','11:00'
8,'29.08.2020','1-KTW-6','11:00','12:00'
9,'29.08.2020','1-KTW-6','12:00','13:00'
10,'29.08.2020','5-KTW-2','07:00','08:00'
11,'29.08.2020','5-KTW-2','08:00','09:00'
12,'29.08.2020','5-KTW-3','09:00','10:00'
13,'29.08.2020','5-KTW-3','10:00','11:00'
14,'29.08.2020','5-KTW-4','10:00','11:00'
15,'29.08.2020','5-KTW-4','11:00','12:00'
16,'29.08.2020','5-KTW-5','09:00','10:00'
17,'29.08.2020','5-KTW-5','10:00','11:00'
18,'29.08.2020','5-KTW-6','11:00','12:00'
19,'29.08.2020','5-KTW-6','12:00','13:00'
20,'29.08.2020','5-KTW-7','09:00','10:00'
21,'29.08.2020','5-KTW-7','10:00','11:00'
22,'29.08.2020','5-KTW-8','11:00','12:00'
23,'29.08.2020','5-KTW-8','12:00','13:00'
24,'29.08.2020','5-KTW-9','20:45','22:00'
25,'29.08.2020','5-KTW-9','23:15','23:45'
26,'29.08.2020','1-KTW-2','07:30','08:30'
27,'29.08.2020','1-KTW-2','08:00','09:00'
28,'29.08.2020','1-KTW-3','09:00','10:00'
29,'29.08.2020','1-KTW-3','10:00','11:00'
30,'29.08.2020','1-KTW-4','10:00','11:00'
31,'29.08.2020','1-KTW-4','11:00','12:00'
32,'29.08.2020','1-KTW-5','09:00','10:00'
33,'29.08.2020','1-KTW-5','10:00','11:00'
34,'29.08.2020','1-KTW-6','11:00','12:00'
35,'29.08.2020','1-KTW-6','12:00','13:00'
36,'29.08.2020','5-KTW-2','07:00','08:00'
37,'29.08.2020','5-KTW-2','08:00','09:00'
38,'29.08.2020','5-KTW-3','09:00','10:00'
39,'29.08.2020','5-KTW-3','10:00','11:00'
40,'29.08.2020','5-KTW-4','10:00','11:00'
41,'29.08.2020','5-KTW-4','11:00','12:00'
42,'29.08.2020','5-KTW-5','09:00','10:00'
43,'29.08.2020','5-KTW-5','10:00','11:00'
44,'29.08.2020','5-KTW-6','11:00','12:00'
45,'29.08.2020','5-KTW-6','12:00','13:00'
46,'29.08.2020','5-KTW-7','09:00','10:00'
47,'29.08.2020','5-KTW-7','10:00','11:00'
48,'29.08.2020','5-KTW-8','11:00','12:00'
49,'29.08.2020','5-KTW-8','12:00','13:00'
50,'29.08.2020','5-KTW-9','20:45','22:00'
51,'29.08.2020','5-KTW-9','23:15','23:45'
52,'29.08.2020','1-KTW-2','07:30','08:30'
53,'29.08.2020','1-KTW-2','08:00','09:00'
54,'29.08.2020','1-KTW-3','09:00','10:00'
55,'29.08.2020','1-KTW-3','10:00','11:00'
56,'29.08.2020','1-KTW-4','10:00','11:00'
57,'29.08.2020','1-KTW-4','11:00','12:00'
58,'29.08.2020','1-KTW-5','09:00','10:00'
59,'29.08.2020','1-KTW-5','10:00','11:00'
60,'29.08.2020','1-KTW-6','11:00','12:00'
61,'29.08.2020','1-KTW-6','12:00','13:00'
62,'29.08.2020','5-KTW-2','07:00','08:00'
63,'29.08.2020','5-KTW-2','08:00','09:00'
64,'29.08.2020','5-KTW-3','09:00','10:00'
65,'29.08.2020','5-KTW-3','10:00','11:00'
66,'29.08.2020','5-KTW-4','10:00','11:00'
67,'29.08.2020','5-KTW-4','11:00','12:00'
68,'29.08.2020','5-KTW-5','09:00','10:00'
69,'29.08.2020','5-KTW-5','10:00','11:00'
70,'29.08.2020','5-KTW-6','11:00','12:00'
71,'29.08.2020','5-KTW-6','12:00','13:00'
72,'29.08.2020','5-KTW-7','09:00','10:00'
73,'29.08.2020','5-KTW-7','10:00','11:00'
74,'29.08.2020','5-KTW-8','11:00','12:00'
75,'29.08.2020','5-KTW-8','12:00','13:00'
76,'29.08.2020','5-KTW-9','20:45','22:00'
77,'29.08.2020','5-KTW-9','23:15','23:45'
78,'29.08.2020','1-KTW-2','07:30','08:30'
79,'29.08.2020','1-KTW-2','08:00','09:00'
80,'29.08.2020','1-KTW-3','09:00','10:00'
81,'29.08.2020','1-KTW-3','10:00','11:00'
82,'29.08.2020','1-KTW-4','10:00','11:00'
83,'29.08.2020','1-KTW-4','11:00','12:00'
84,'29.08.2020','1-KTW-5','09:00','10:00'
85,'29.08.2020','1-KTW-5','10:00','11:00'
86,'29.08.2020','1-KTW-6','11:00','12:00'
87,'29.08.2020','1-KTW-6','12:00','13:00'
88,'29.08.2020','5-KTW-2','07:00','08:00'
89,'29.08.2020','5-KTW-2','08:00','09:00'
90,'29.08.2020','5-KTW-3','09:00','10:00'
91,'29.08.2020','5-KTW-3','10:00','11:00'
92,'29.08.2020','5-KTW-4','10:00','11:00'
93,'29.08.2020','5-KTW-4','11:00','12:00'
94,'29.08.2020','5-KTW-5','09:00','10:00'
95,'29.08.2020','5-KTW-5','10:00','11:00'
96,'29.08.2020','5-KTW-6','11:00','12:00'
97,'29.08.2020','5-KTW-6','12:00','13:00'
98,'29.08.2020','5-KTW-7','09:00','10:00'
99,'29.08.2020','5-KTW-7','10:00','11:00'
100,'29.08.2020','5-KTW-8','11:00','12:00'
101,'29.08.2020','5-KTW-8','12:00','13:00'
102,'29.08.2020','5-KTW-9','20:45','22:00'
103,'29.08.2020','5-KTW-9','23:15','23:45'
104,'29.08.2020','1-KTW-2','07:30','08:30'
105,'29.08.2020','1-KTW-2','08:00','09:00'
106,'29.08.2020','1-KTW-3','09:00','10:00'
107,'29.08.2020','1-KTW-3','10:00','11:00'
108,'29.08.2020','1-KTW-4','10:00','11:00'
109,'29.08.2020','1-KTW-4','11:00','12:00'
110,'29.08.2020','1-KTW-5','09:00','10:00'
111,'29.08.2020','1-KTW-5','10:00','11:00'
112,'29.08.2020','1-KTW-6','11:00','12:00'
113,'29.08.2020','1-KTW-6','12:00','13:00'
114,'29.08.2020','5-KTW-2','07:00','08:00'
115,'29.08.2020','5-KTW-2','08:00','09:00'
116,'29.08.2020','5-KTW-3','09:00','10:00'
117,'29.08.2020','5-KTW-3','10:00','11:00'
118,'29.08.2020','5-KTW-4','10:00','11:00'
119,'29.08.2020','5-KTW-4','11:00','12:00'
120,'29.08.2020','5-KTW-5','09:00','10:00'
121,'29.08.2020','5-KTW-5','10:00','11:00'
122,'29.08.2020','5-KTW-6','11:00','12:00'
123,'29.08.2020','5-KTW-6','12:00','13:00'
124,'29.08.2020','5-KTW-7','09:00','10:00'
125,'29.08.2020','5-KTW-7','10:00','11:00'
126,'29.08.2020','5-KTW-8','11:00','12:00'
127,'29.08.2020','5-KTW-8','12:00','13:00'
128,'29.08.2020','5-KTW-9','20:45','22:00'
129,'29.08.2020','5-KTW-9','23:15','23:45'
130,'29.08.2020','1-KTW-2','07:30','08:30'
131,'29.08.2020','1-KTW-2','08:00','09:00'
132,'29.08.2020','1-KTW-3','09:00','10:00'
133,'29.08.2020','1-KTW-3','10:00','11:00'
134,'29.08.2020','1-KTW-4','10:00','11:00'
135,'29.08.2020','1-KTW-4','11:00','12:00'
136,'29.08.2020','1-KTW-5','09:00','10:00'
137,'29.08.2020','1-KTW-5','10:00','11:00'
138,'29.08.2020','1-KTW-6','11:00','12:00'
139,'29.08.2020','1-KTW-6','12:00','13:00'
140,'29.08.2020','5-KTW-2','07:00','08:00'
141,'29.08.2020','5-KTW-2','08:00','09:00'
142,'29.08.2020','5-KTW-3','09:00','10:00'
143,'29.08.2020','5-KTW-3','10:00','11:00'
144,'29.08.2020','5-KTW-4','10:00','11:00'
145,'29.08.2020','5-KTW-4','11:00','12:00'
146,'29.08.2020','5-KTW-5','09:00','10:00'
147,'29.08.2020','5-KTW-5','10:00','11:00'
148,'29.08.2020','5-KTW-6','11:00','12:00'
149,'29.08.2020','5-KTW-6','12:00','13:00'
150,'29.08.2020','5-KTW-7','09:00','10:00'
151,'29.08.2020','5-KTW-7','10:00','11:00'
152,'29.08.2020','5-KTW-8','11:00','12:00'
